feature,model,accuracy,precision,recall,f1_score
BoW,AdaBoost,0.8606156274664561,0.8629884561167087,0.8606156274664561,0.8603961951964558
BoW,GradientBoosting,0.8917127071823204,0.8928922497248923,0.8917127071823204,0.8916352364109308
BoW,LogisticRegression,0.91681136543015,0.9173151862953794,0.91681136543015,0.9167878367363349
BoW,MLPClassifier,0.9161799526440412,0.9168054474379769,0.9161799526440412,0.9161502547058644
BoW,RandomForest,0.9131807419100237,0.9133120268554207,0.9131807419100237,0.9131739035079496
TF-IDF,AdaBoost,0.8579321231254934,0.8586227177702994,0.8579321231254934,0.8578672686593085
TF-IDF,GradientBoosting,0.8981846882399369,0.8988860441090282,0.8981846882399369,0.8981432110577023
TF-IDF,LogisticRegression,0.9180741910023678,0.919006566166779,0.9180741910023678,0.9180306033864232
TF-IDF,MLPClassifier,0.9280189423835832,0.9284102778933129,0.9280189423835832,0.9280033142352775
TF-IDF,RandomForest,0.9146014206787688,0.9147268760056285,0.9146014206787688,0.9145952937582843
Word2Vec,AdaBoost,0.8173638516179953,0.8174809543773559,0.8173638516179953,0.8173479212495851
Word2Vec,GradientBoosting,0.8754538279400158,0.8755813027497963,0.8754538279400158,0.875444186096433
Word2Vec,LogisticRegression,0.854301499605367,0.8545343196070243,0.854301499605367,0.8542780341351618
Word2Vec,MLPClassifier,0.9089187056037884,0.9091937011519994,0.9089187056037884,0.9089037428646586
Word2Vec,RandomForest,0.866614048934491,0.8681032594829334,0.866614048934491,0.866482115778388
BERT,AdaBoost,0.8157853196527229,0.8160729582483729,0.8157853196527229,0.8157452577126205
BERT,GradientBoosting,0.8530386740331493,0.8532253427803811,0.8530386740331493,0.8530201237905708
BERT,LogisticRegression,0.8939226519337018,0.8941528237930555,0.8939226519337018,0.893907027408296
BERT,MLPClassifier,0.9065509076558801,0.9069812636570063,0.9065509076558801,0.9065291104463133
BERT,RandomForest,0.8407261247040253,0.8412651148524783,0.8407261247040253,0.8406679098587094
Linguistic,AdaBoost,0.8105761641673244,0.8112547063074625,0.8105761641673244,0.810476832043939
Linguistic,GradientBoosting,0.841988950276243,0.8422071346678109,0.841988950276243,0.8419646393064462
Linguistic,LogisticRegression,0.7974743488555642,0.7980939891840478,0.7974743488555642,0.7973754864655933
Linguistic,MLPClassifier,0.7831097079715865,0.8120436383625542,0.7831097079715865,0.7771328759146068
Linguistic,RandomForest,0.850197316495659,0.850643255677706,0.850197316495659,0.8501535285445618
